org RRTMG LUT interpolated from GADS (DAR 09/2013)
V0.1 - contains Fast-J wavelengths but is the same as the original jv_spec.dat values
  w(nm)   RH       N         iK  RgDry  RgWet      Sg       Q  Alpha  r-eff ss-alb  g-sym  pi(0)  pi(1)  pi(2)  pi(3)  pi(4)  pi(5)  pi(6)  pi(7)
 1455.2   70  1.4711 -1.740e-02  0.058  0.063    1.60  0.0518  0.274  0.109  0.609  0.223  1.000  0.669  0.661  0.158  0.036  0.008  0.002  0.000
 1270.3   70  1.4717 -1.533e-02  0.058  0.063    1.60  0.0706  0.375  0.109  0.704  0.266  1.000  0.800  0.724  0.204  0.055  0.014  0.004  0.001
  944.3   70  1.4807 -1.119e-02  0.058  0.063    1.60  0.1571  0.834  0.109  0.854  0.375  1.000  1.123  0.929  0.359  0.133  0.044  0.016  0.006
  693.5   70  1.4894 -5.570e-03  0.058  0.063    1.60  0.3538  1.877  0.109  0.951  0.486  1.000  1.458  1.229  0.619  0.293  0.123  0.054  0.022
  527.1   70  1.4900 -4.409e-03  0.058  0.063    1.60  0.6893  3.658  0.109  0.970  0.571  1.000  1.712  1.556  0.954  0.538  0.270  0.139  0.066
  399.8   70  1.4910 -3.980e-03  0.058  0.063    1.60  1.2055  6.396  0.109  0.977  0.636  1.000  1.907  1.903  1.361  0.884  0.515  0.299  0.161
  329.1   70  1.4923 -4.981e-03  0.058  0.063    1.60  1.6780  8.904  0.109  0.973  0.670  1.000  2.008  2.138  1.674  1.187  0.763  0.480  0.287
  229.8   70  1.4957 -2.390e-02  0.058  0.063    1.60  2.3362 12.396  0.109  0.885  0.714  1.000  2.142  2.453  2.139  1.678  1.218  0.846  0.572
 7082.2   70  1.3910 -5.759e-02  0.058  0.063    1.60  0.0121  0.064  0.109  0.004  0.013  1.000  0.038  0.501  0.007  0.000  0.000  0.000  0.000
  300.0   80  1.4747 -5.560e-03  0.058  0.065    1.60  1.9268  9.770  0.114  0.970  0.695  1.000  2.086  2.329  1.934  1.454  0.995  0.659  0.419
  400.0   80  1.4716 -3.470e-03  0.058  0.065    1.60  1.2259  6.216  0.114  0.979  0.650  1.000  1.950  1.991  1.467  0.979  0.588  0.349  0.195
  440.0   80  1.4711 -3.470e-03  0.058  0.065    1.60  1.0296  5.221  0.114  0.978  0.630  1.000  1.891  1.869  1.315  0.841  0.482  0.275  0.148
  500.0   80  1.4704 -3.470e-03  0.058  0.065    1.60  0.7881  3.996  0.114  0.976  0.600  1.000  1.800  1.702  1.114  0.666  0.355  0.191  0.096
  550.0   80  1.4698 -4.170e-03  0.058  0.065    1.60  0.6391  3.241  0.114  0.970  0.574  1.000  1.723  1.578  0.974  0.553  0.279  0.144  0.069
  600.0   80  1.4695 -4.170e-03  0.058  0.065    1.60  0.5214  2.644  0.114  0.967  0.549  1.000  1.646  1.467  0.855  0.461  0.221  0.109  0.050
  675.0   80  1.4692 -4.860e-03  0.058  0.065    1.60  0.3934  1.994  0.114  0.957  0.512  1.000  1.533  1.324  0.711  0.355  0.158  0.073  0.032
  800.0   80  1.4616 -6.940e-03  0.058  0.065    1.60  0.2472  1.254  0.114  0.924  0.451  1.000  1.354  1.132  0.532  0.235  0.093  0.039  0.015
  870.0   80  1.4614 -8.403e-03  0.058  0.065    1.60  0.2021  1.024  0.114  0.898  0.420  1.000  1.262  1.049  0.460  0.191  0.071  0.029  0.011
 1000.0   80  1.4610 -1.080e-02  0.058  0.065    1.60  0.1389  0.705  0.114  0.847  0.368  1.000  1.103  0.918  0.352  0.128  0.042  0.015  0.005
 1020.0   80  1.4604 -1.099e-02  0.058  0.065    1.60  0.1338  0.679  0.114  0.839  0.361  1.000  1.083  0.905  0.342  0.123  0.040  0.014  0.005
55555.6   80  1.8011 -3.800e-01  0.058  0.065    1.60  0.0121  0.061  0.114  0.000  0.001  1.000  0.002  0.500  0.000  0.000  0.000  0.000  0.000
23529.4   80  1.8179 -2.895e-01  0.058  0.065    1.60  0.0136  0.069  0.114  0.000  0.002  1.000  0.005  0.500  0.001  0.000  0.000  0.000  0.000
17699.1   80  1.8317 -2.715e-01  0.058  0.065    1.60  0.0168  0.085  0.114  0.000  0.003  1.000  0.008  0.500  0.001  0.000  0.000  0.000  0.000
15037.6   80  1.3810 -2.615e-01  0.058  0.065    1.60  0.0271  0.137  0.114  0.000  0.003  1.000  0.009  0.500  0.002  0.000  0.000  0.000  0.000
13157.9   80  1.4717 -1.362e-01  0.058  0.065    1.60  0.0151  0.077  0.114  0.001  0.004  1.000  0.013  0.500  0.002  0.000  0.000  0.000  0.000
11111.1   80  1.5372 -6.690e-02  0.058  0.065    1.60  0.0084  0.043  0.114  0.002  0.006  1.000  0.019  0.500  0.003  0.000  0.000  0.000  0.000
 9708.7   80  1.6923 -9.411e-02  0.058  0.065    1.60  0.0120  0.061  0.114  0.004  0.008  1.000  0.026  0.500  0.004  0.000  0.000  0.000  0.000
 8849.6   80  2.1092 -2.409e-01  0.058  0.065    1.60  0.0239  0.121  0.114  0.006  0.013  1.000  0.039  0.501  0.005  0.000  0.000  0.000  0.000
 7782.1   80  1.2530 -5.599e-02  0.058  0.065    1.60  0.0122  0.062  0.114  0.002  0.011  1.000  0.033  0.500  0.007  0.000  0.000  0.000  0.000
 6968.6   80  1.3896 -5.063e-02  0.058  0.065    1.60  0.0113  0.057  0.114  0.007  0.014  1.000  0.043  0.501  0.009  0.000  0.000  0.000  0.000
 6097.6   80  1.3871 -4.719e-02  0.058  0.065    1.60  0.0122  0.062  0.114  0.009  0.019  1.000  0.056  0.501  0.012  0.000  0.000  0.000  0.000
 5154.6   80  1.4071 -1.331e-02  0.058  0.065    1.60  0.0042  0.021  0.114  0.055  0.026  1.000  0.078  0.503  0.015  0.001  0.000  0.000  0.000
 4618.9   80  1.4187 -1.286e-02  0.058  0.065    1.60  0.0047  0.024  0.114  0.078  0.033  1.000  0.097  0.505  0.019  0.001  0.000  0.000  0.000
 4319.7   80  1.4217 -1.014e-02  0.058  0.065    1.60  0.0040  0.021  0.114  0.146  0.037  1.000  0.111  0.506  0.022  0.001  0.000  0.000  0.000
 4016.1   80  1.4231 -5.144e-03  0.058  0.065    1.60  0.0026  0.013  0.114  0.252  0.042  1.000  0.126  0.507  0.025  0.001  0.000  0.000  0.000
 3418.8   80  1.4295 -1.000e-02  0.058  0.065    1.60  0.0058  0.030  0.114  0.224  0.057  1.000  0.172  0.513  0.033  0.002  0.000  0.000  0.000
